,naver_pk
524,"37.5731671374, 127.0022205345"
525,"37.5727053069, 126.9994259655"
526,"37.4831085641, 126.8861844379"
527,"37.5765164384, 126.9898322451"
528,"37.5722633894, 127.0040912310"
529,"37.5698363093, 126.9913038976"
530,"nan, nan"
531,"37.5774457936, 127.0226361214"
532,"37.5767859370, 127.0224706414"
533,"37.5729883902, 127.0201670145"
534,"37.5730850982, 126.9889186213"
535,"nan, nan"
536,"37.5716008566, 127.0049076905"
537,"37.5719810158, 127.0041400041"
538,"37.6006230770, 126.9594280848"
539,"37.5784055914, 127.0223275803"
540,"37.5688741676, 126.9845601569"
541,"37.5760763111, 126.9899305665"
542,"37.5712386698, 127.0121896458"
543,"37.5631936501, 126.9777385331"
544,"37.5734215076, 126.9846905308"
545,"37.5732971566, 126.9885437835"
546,"37.5696373691, 126.9850123259"
547,"37.5726111689, 127.0042217689"
548,"37.5701283418, 127.0155280549"
549,"37.5745802476, 126.9903875393"
550,"37.5690890643, 126.9846309720"
551,"37.5713286714, 127.0012328327"
552,"37.5710366196, 126.9902077852"
553,"37.5727873869, 126.9993106145"
554,"37.5723495202, 127.0101420582"
555,"37.5726674875, 126.9811142630"
556,"37.5722823844, 127.0112638495"
557,"37.5711069338, 126.9906596586"
558,"nan, nan"
559,"nan, nan"
560,"37.5763774661, 127.0222593913"
561,"37.5745761925, 126.9903795025"
562,"37.5749466159, 126.9846477675"
563,"37.5764164270, 126.9909254802"
564,"37.5757496883, 126.9887948340"
565,"37.5713520025, 126.9906343850"
566,"37.5709699888, 126.9896544878"
567,"37.5719842319, 126.9895719391"
568,"37.5714485053, 127.0113483957"
569,"37.5726722394, 126.9992553742"
570,"37.5693669711, 126.9890255749"
571,"37.5766942628, 126.9683082318"
572,"37.5757721945, 126.9895742409"
573,"37.5715347689, 126.9900774294"
574,"nan, nan"
575,"37.5750964070, 126.9812247018"
576,"37.5714497330, 127.0030175076"
577,"37.5707609102, 126.9901503175"
578,"37.5709133399, 127.0110778874"
579,"37.5747055882, 126.9894748847"
580,"37.5710267899, 127.0163758600"
581,"37.5712247156, 126.9898314930"
582,"37.5710926517, 126.9900901662"
583,"37.5760749190, 127.0222235286"
584,"37.5718065652, 127.0003498954"
585,"37.5828627561, 127.0003982898"
586,"nan, nan"
587,"37.5691752455, 126.9901155493"
588,"nan, nan"
589,"nan, nan"
590,"37.5722300238, 126.9895774515"
591,"37.5747886537, 126.9904619998"
592,"37.5757948553, 126.9964253527"
593,"37.5831742291, 127.0005033553"
594,"37.5722137058, 126.9894652739"
595,"nan, nan"
596,"37.5715472853, 127.0119481322"
597,"37.6088132009, 126.9560032474"
598,"37.5735019573, 126.9918540794"
599,"37.5710534397, 127.0120482326"
600,"37.5741166054, 127.0222329084"
601,"37.5732779797, 126.9886919657"
602,"37.5839535893, 127.0002229233"
603,"37.5750771883, 126.9855057067"
604,"37.5738328982, 127.0201350931"
605,"37.5734253531, 127.0186424340"
606,"37.5712886246, 126.9901680200"
607,"37.5717998027, 126.9896238095"
608,"37.5732935667, 126.9886898125"
609,"37.5730931563, 127.0202814880"
610,"37.5736770257, 127.0166695176"
611,"37.5709617749, 126.9814379838"
612,"37.5715482671, 127.0041619405"
613,"37.5748674114, 126.9981680400"
614,"37.5712796883, 126.9899715106"
615,"37.5739134644, 126.9909306516"
616,"37.5722300238, 126.9895774515"
617,"37.5698255207, 126.9867155350"
618,"37.5737106034, 127.0197782506"
619,"37.5708769087, 126.9846246052"
620,"37.5710291372, 127.0108691694"
621,"37.5729583617, 127.0141413783"
622,"37.5719579063, 126.9893869766"
623,"37.5750854576, 126.9895882607"
624,"37.5715422999, 127.0080463195"
625,"37.5712928462, 127.0119290744"
626,"37.5750172906, 126.9842428260"
627,"37.5692265112, 126.9881478877"
628,"nan, nan"
629,"37.5707349498, 126.9900098440"
630,"37.5692079749, 126.9883911449"
631,"37.5758372018, 126.9964157283"
632,"37.5717628155, 127.0035023474"
633,"37.5761050251, 126.9987461457"
634,"37.5718583296, 127.0134316441"
635,"37.5728678619, 127.0111490399"
636,"37.5736460337, 126.9861347018"
637,"37.5708938560, 127.0145981895"
638,"37.5730560055, 126.9811704253"
639,"37.5755924608, 126.9655019229"
640,"37.5720847333, 126.9900403406"
641,"37.5757454671, 127.0220004187"
642,"37.5617094551, 126.9826746515"
643,"37.5692575171, 126.9882643596"
644,"37.5748374926, 126.9845494168"
645,"37.5716190945, 127.0119501812"
646,"37.5714976970, 126.9896001931"
647,"37.5764362311, 126.9896159211"
648,"37.5728441655, 127.0177713308"
649,"37.5689619412, 126.9907509343"
650,"37.5723624135, 126.9910868279"
651,"37.5741704862, 127.0222257927"
652,"37.5712957865, 126.9896296525"
653,"37.5732101491, 127.0194875333"
654,"37.5732101491, 127.0194875333"
655,"37.5732101491, 127.0194875333"
656,"37.5715911808, 127.0033325427"
657,"37.5715937746, 127.0076264745"
658,"37.5755614825, 127.0040464696"
659,"37.5719333043, 127.0133264963"
660,"37.5692176592, 126.9898419533"
661,"37.5730710256, 126.9887385222"
662,"37.5709550515, 127.0136961360"
663,"nan, nan"
664,"37.5722937845, 127.0192596516"
665,"37.5742535772, 127.0184535934"
666,"nan, nan"
667,"37.6110597445, 126.9770177726"
668,"nan, nan"
669,"37.5755607133, 127.0025533115"
670,"37.5696395613, 126.9905161976"
671,"37.5695261321, 126.9905929580"
672,"37.5702585736, 127.0063785814"
673,"37.5712631726, 127.0113283316"
674,"nan, nan"
675,"37.5730079038, 126.9873343998"
676,"37.5728488635, 127.0188503513"
677,"37.5738044677, 127.0209357570"
678,"37.5694351643, 126.9898979551"
679,"37.5709617749, 126.9814379838"
680,"37.5717074365, 126.9808610552"
681,"nan, nan"
682,"nan, nan"
683,"nan, nan"
684,"nan, nan"
685,"37.5710220790, 126.9897993726"
686,"37.5721641706, 126.9998965364"
687,"nan, nan"
688,"37.5732552233, 126.9817945616"
689,"37.5738593194, 127.0215411725"
690,"37.5720605321, 127.0051929809"
691,"37.5936643621, 126.9641619832"
692,"37.5767990401, 126.9974442689"
693,"37.5702412992, 126.9963152523"
694,"37.5726144558, 127.0125105637"
695,"37.6063518177, 126.9668462743"
696,"37.5728910700, 127.0115396957"
697,"37.5716629207, 127.0024949947"
698,"37.5790626715, 126.9736660934"
699,"37.5750327867, 127.0038108655"
700,"37.5713391383, 126.9897891416"
701,"37.5739540303, 127.0199083834"
702,"37.5701340995, 127.0030250386"
703,"37.5692716381, 126.9871620716"
704,"37.5754682830, 126.9895057951"
705,"37.5745492871, 126.9897179519"
706,"37.5696643004, 126.9872402219"
707,"37.5702614906, 127.0108533237"
708,"37.5840957563, 126.9868660686"
709,"37.5710697435, 126.9789288325"
710,"37.5746313974, 127.0163975918"
711,"37.5728254224, 126.9898188234"
712,"37.5789134957, 126.9693090764"
713,"nan, nan"
714,"37.5705611277, 126.9870247697"
715,"37.5747026918, 127.0027486697"
716,"37.5790626715, 126.9736660934"
717,"37.5717800219, 126.9901020741"
718,"37.5738325768, 126.9881285927"
719,"37.5718392448, 126.9893823524"
720,"37.5734697146, 126.9920436940"
721,"37.5706016811, 126.9863032495"
722,"nan, nan"
723,"37.5715362104, 126.9900762973"
724,"37.5719970534, 126.9863118234"
725,"37.5717462213, 127.0128426547"
726,"37.5711827082, 127.0113849180"
727,"nan, nan"
728,"37.5709617749, 126.9814379838"
729,"37.5687435695, 126.9889948778"
730,"37.5749805307, 126.9578128977"
731,"nan, nan"
732,"37.5735416577, 127.0149383086"
733,"nan, nan"
734,"37.5719493670, 126.9861081884"
735,"37.5735911464, 126.9884944961"
736,"37.5728379254, 126.9886055476"
737,"37.5735383046, 127.0150910157"
738,"nan, nan"
